sample,point_load_u1_mean,point_load_u2_mean,ranslation_u1_mean,shear_u1_mean,shear_u2_mean,translation_u1_mean,translation_u2_mean,uniaxial_u1_mean,uniaxial_u2_mean,point_load_u1_std,point_load_u2_std,ranslation_u1_std,shear_u1_std,shear_u2_std,translation_u1_std,translation_u2_std,uniaxial_u1_std,uniaxial_u2_std,point_load_u1_p20,point_load_u2_p20,ranslation_u1_p20,shear_u1_p20,shear_u2_p20,translation_u1_p20,translation_u2_p20,uniaxial_u1_p20,uniaxial_u2_p20
001,-52.69,-47.61,,-8.65,-8.59,-6.49,0.0,-7.63,-10.73,72.98,105.28,,22.31,74.76,4.99,0.07,14.59,27.98,99.27,97.71,,8.57,5.39,1.14,0.0,8.08,15.1
002,-52.88,-46.1,,-6.94,-4.85,-6.13,0.0,-6.53,-8.67,32.52,32.76,,15.84,14.01,3.21,0.07,11.88,47.64,94.04,92.9,,6.94,4.41,0.33,0.0,7.35,13.63
003,-41.64,-45.46,,-4.43,-4.27,-4.5,0.0,-5.56,-10.44,23.73,60.4,,13.74,11.45,2.49,0.07,10.54,16.72,92.41,92.08,,3.76,4.08,0.0,0.0,7.35,13.55
004,-51.12,-45.31,,-6.25,-4.71,-6.24,-0.01,-6.96,-8.7,22.11,73.3,,14.94,17.74,3.45,0.06,11.12,13.88,99.51,97.96,,6.78,2.78,0.24,0.0,8.16,11.18
005,-56.39,-51.26,,-8.96,-7.3,-8.6,0.0,-9.42,-13.45,16.51,17.86,,84.92,45.98,5.95,0.08,16.96,23.24,88.41,88.57,,10.12,8.57,3.92,0.0,10.69,17.88
006,-50.94,-43.37,,-7.45,-6.15,-7.16,0.0,-7.73,-10.01,12.75,13.84,,20.81,19.64,4.15,0.07,11.32,17.22,88.0,86.53,,6.61,6.2,0.98,0.0,8.08,12.65
007,-52.44,-45.65,,-12.85,-6.1,-11.65,0.02,-13.57,-14.16,99.76,22.5,,25.02,22.72,6.61,0.08,18.15,29.03,92.73,91.26,,16.62,7.01,9.61,0.0,17.58,21.56
008,-51.16,-47.84,,-7.22,-6.1,-5.97,0.0,-6.4,-8.72,25.8,78.95,,18.03,36.92,3.6,0.06,9.83,12.18,87.92,87.76,,6.78,4.65,0.24,0.0,6.86,9.31
009,-58.77,-47.39,,-10.91,-7.25,-9.27,0.0,-10.32,-11.32,47.46,23.38,,21.87,23.37,5.22,0.08,14.57,15.19,88.24,87.51,,10.61,7.76,3.18,0.0,12.0,15.67
010,-53.59,-39.48,,-7.68,-4.54,-6.57,0.0,-7.51,-7.8,62.37,34.42,,23.05,23.44,4.08,0.06,13.7,17.62,93.51,89.87,,6.67,4.24,1.13,0.0,7.97,9.09
011,-53.47,-45.1,,-12.33,-8.28,-10.2,0.04,-11.46,-17.86,47.57,35.19,,35.95,29.24,6.42,0.09,17.5,26.73,87.58,82.76,,14.17,9.57,7.38,0.0,13.59,24.32
012,-44.15,-42.46,,-7.45,-7.06,-8.02,0.03,-11.08,-16.8,19.12,31.99,,38.33,33.99,5.2,0.09,15.93,23.33,88.16,86.37,,9.55,6.29,2.86,0.0,12.98,25.22
013,-56.94,-43.74,,-8.54,-5.44,-8.4,0.0,-8.52,-10.07,46.46,13.11,,39.42,17.79,4.84,0.07,11.9,14.53,90.94,89.47,,9.63,5.88,2.29,0.0,9.31,12.49
014,-52.17,-51.29,,-9.54,-7.65,-7.41,0.0,-8.42,-13.91,29.7,30.27,,36.65,19.35,4.65,0.08,12.96,19.03,93.14,92.98,,9.47,9.71,2.2,0.0,10.04,22.45
015,-48.4,-41.97,,-7.8,-8.1,-8.72,0.02,-10.69,-16.26,32.14,19.7,,42.76,62.2,5.61,0.09,17.01,19.79,89.8,88.73,,9.63,7.43,4.24,0.0,11.1,24.65
016,-43.26,-43.84,,-3.8,-2.64,-4.08,0.0,-4.15,-8.5,21.02,72.97,,10.23,6.99,2.12,0.06,7.86,11.44,91.98,92.57,,2.93,1.96,0.0,0.0,4.11,9.29
017,-62.03,-52.71,,-6.2,-5.38,-5.1,-0.02,-4.73,-5.94,42.3,22.6,,11.41,8.74,2.79,0.07,10.67,12.36,93.94,93.74,,6.16,5.08,0.0,0.0,4.79,6.94
018,-57.7,-41.72,,-5.86,-2.45,-5.69,-0.01,-6.26,-7.77,112.04,19.17,,9.69,7.64,2.91,0.06,11.5,18.36,93.65,92.57,,5.38,2.05,0.0,0.0,6.26,9.29
019,-52.98,-43.13,,-4.39,-2.28,-3.96,-0.01,-3.43,-4.4,10.19,7.87,,15.46,15.35,1.87,0.05,7.71,12.06,89.94,89.81,,3.81,1.51,0.0,0.0,2.76,4.34
020,-33.54,-36.38,,-0.93,-0.48,-2.16,0.0,-1.88,-4.82,45.14,21.3,,3.76,4.03,1.09,0.04,4.85,7.38,85.63,86.2,,0.33,0.65,0.0,0.0,1.71,3.27
021,-49.03,-47.47,,-2.11,-0.66,-2.39,0.0,-1.79,-4.27,45.46,57.14,,9.87,10.22,1.21,0.04,7.13,13.49,99.02,99.51,,1.55,0.9,0.0,0.0,2.37,5.63
022,-51.96,-55.37,,-1.15,-1.97,-1.58,0.0,-0.41,-5.07,42.85,27.17,,6.54,6.14,0.95,0.04,4.6,10.23,99.92,99.92,,1.31,1.88,0.0,0.0,1.22,5.8
023,-48.92,-61.4,,-1.0,-2.86,-1.41,0.0,0.41,-6.52,7.7,12.15,,5.88,8.34,0.84,0.04,4.53,11.95,100.0,100.0,,1.14,2.69,0.0,0.0,1.39,8.24
024,-42.4,-53.19,,-0.48,-2.33,-1.47,0.0,-0.63,-6.95,15.36,10.16,,3.81,6.05,0.89,0.04,4.24,11.11,94.29,94.52,,0.39,0.69,0.0,0.0,1.16,9.03
025,-52.02,-54.71,,-1.28,-1.65,-1.75,0.0,-1.22,-4.38,10.28,9.55,,6.33,7.04,0.91,0.04,5.51,10.86,100.0,100.0,,0.65,0.82,0.0,0.0,1.88,5.88
026,-33.66,-39.82,,-0.16,-2.57,-1.59,0.0,-0.93,-8.08,10.21,14.3,,5.52,6.64,0.9,0.05,3.05,10.4,97.71,98.12,,0.41,1.96,0.0,0.0,0.16,9.47
027,-37.41,-45.36,,0.08,-2.26,-1.41,0.0,-0.49,-8.61,8.24,15.54,,3.57,5.28,0.84,0.04,2.81,12.6,99.59,98.78,,0.57,1.71,0.0,0.0,0.33,10.45
028,-39.42,-37.78,,-0.94,-0.27,-2.23,0.0,-1.83,-4.47,51.42,38.04,,3.88,3.99,1.04,0.03,3.98,7.39,98.37,98.69,,0.24,0.57,0.0,0.0,1.06,3.59
029,-41.76,-39.81,,-2.18,-1.59,-2.9,0.0,-1.95,-5.29,33.63,16.59,,10.7,13.78,1.36,0.04,4.77,8.62,99.2,99.2,,1.31,1.24,0.0,0.0,1.17,5.48
030,-30.27,-30.29,,-0.05,0.45,-1.7,0.0,-1.25,-3.31,7.79,7.48,,3.49,3.59,0.74,0.03,3.19,4.76,82.4,82.18,,0.22,0.22,0.0,0.0,0.29,1.97
031,-43.74,-39.37,,-1.6,-1.02,-2.8,0.0,-2.35,-4.11,13.61,16.56,,6.52,7.53,1.3,0.04,4.98,7.24,88.39,88.31,,1.39,0.51,0.0,0.0,1.53,3.51
032,-43.7,-39.74,,-2.91,-1.16,-2.9,0.0,-2.61,-4.49,10.56,9.04,,15.13,11.86,1.4,0.04,5.96,9.0,93.35,93.06,,2.41,0.8,0.0,0.0,2.12,4.89
033,-29.57,-30.19,,-1.26,-0.83,-2.51,0.0,-2.8,-6.73,12.35,11.24,,10.03,6.98,1.32,0.04,7.5,12.48,75.68,80.93,,1.54,1.24,0.0,0.0,2.78,7.88
034,-49.42,-47.13,,-2.39,-1.79,-2.83,0.0,-2.33,-5.71,21.14,33.78,,5.61,6.45,1.36,0.04,5.58,10.58,94.21,94.21,,1.78,1.47,0.0,0.0,2.24,5.87
035,-50.39,-48.27,,-2.55,-1.95,-2.59,0.0,-1.96,-4.37,9.98,8.76,,12.01,6.75,1.34,0.04,5.15,8.77,94.44,94.52,,2.08,1.39,0.0,0.0,1.7,5.56
036,-46.58,-39.57,,-5.22,-2.5,-4.49,0.0,-4.44,-5.76,10.94,8.62,,21.23,13.09,2.09,0.05,7.36,9.92,88.75,88.31,,3.65,2.26,0.0,0.0,4.31,6.28
037,-30.36,-29.19,,-1.79,-1.59,-3.13,0.0,-3.23,-7.88,14.12,14.53,,11.89,12.35,1.49,0.04,6.33,11.85,73.05,70.34,,1.53,1.9,0.0,0.0,2.48,9.13
038,-48.55,-40.86,,-2.6,-1.51,-3.4,0.0,-3.06,-5.5,54.28,12.58,,6.4,8.95,1.61,0.04,8.48,11.87,93.98,94.13,,1.93,1.08,0.0,0.0,2.24,7.03
039,-39.69,-35.66,,-2.34,-1.33,-3.32,0.0,-3.66,-5.11,11.44,8.72,,8.48,9.63,1.61,0.04,7.24,8.43,85.17,86.78,,1.83,1.02,0.0,0.0,4.31,5.26
040,-39.69,-35.66,,-2.34,-1.33,-3.32,0.0,-3.66,-5.11,11.44,8.72,,8.48,9.63,1.61,0.04,7.24,8.43,85.17,86.78,,1.83,1.02,0.0,0.0,4.31,5.26
