batch_idx,sample_idx,displacement,true_force,predicted_force,force_error,force_relative_error,mse_ux,mse_uy,mse_total,mae_ux,mae_uy,mae_total,relative_error
25,5,0.0,6.5796055e-05,-0.00950703,0.009572826,145.4703,0.0054207188077270985,0.038339197635650635,0.021879958221688867,0.06012466549873352,0.16637244820594788,0.1132485568523407,18656540.0
56,0,0.0,-2.5139667e-05,-0.0179331,0.01790796,712.05554,0.005852418951690197,0.0436907596886158,0.024771589320152998,0.061326444149017334,0.18196697533130646,0.1216467097401619,20191682.0
97,3,0.0,0.00035330522,-0.010816202,0.011169507,31.613432,0.005806611385196447,0.042143501341342926,0.023975056363269687,0.06303425133228302,0.17870567739009857,0.1208699643611908,20114016.0
104,0,0.0,5.9319264e-06,-0.009472415,0.009478346,1595.164,0.0029997676610946655,0.04826658219099045,0.025633174926042557,0.04505833983421326,0.1907758265733719,0.11791708320379257,20195574.0
135,4,0.0,-5.472367e-05,-0.018968731,0.018914007,345.56436,0.0050202044658362865,0.03722211718559265,0.02112116082571447,0.05673503875732422,0.16578631103038788,0.11126067489385605,18732756.0
27,12,0.0,2.431472e-05,0.007554844,0.0075305295,309.58337,0.002923134947195649,0.05103524774312973,0.02697919134516269,0.04396848380565643,0.19819940626621246,0.12108394503593445,20870778.0
198,1,0.0,0.00018431756,-0.008085951,0.008270268,44.867237,0.0029514175839722157,0.049975208938121796,0.026463313261047006,0.04431597515940666,0.19521000981330872,0.11976299248635769,20436918.0
28,14,0.0,4.2852735e-05,-0.008976251,0.009019104,210.4183,0.0079332385212183,0.044029343873262405,0.025981291197240353,0.0730917826294899,0.17723079025745392,0.1251612864434719,20424424.0
196,0,0.0,0.0,-0.0017308816,0.0017308816,173088.17,0.003388609504327178,0.05798375979065895,0.030686184647493064,0.0482039749622345,0.20661243796348572,0.1274082064628601,21747156.0
68,13,0.0,9.540601e-05,-0.00531137,0.005406776,56.665295,0.006754052825272083,0.07325170189142227,0.04000287735834718,0.06645333021879196,0.23637929558753967,0.15141631290316582,25918782.0
170,11,0.0,0.00011604683,-0.011536539,0.011652585,100.40413,0.0021719587966799736,0.048046428710222244,0.02510919375345111,0.0374305285513401,0.1817862093448639,0.109608368948102,18919516.0
127,3,0.0,7.980158e-05,0.001691997,0.0016121955,20.20002,0.006344045978039503,0.06654814630746841,0.03644609614275396,0.06504414975643158,0.2237481027841568,0.1443961262702942,24503980.0
162,2,0.0,8.8819215e-05,-0.0066530704,0.0067418898,75.89722,0.003475591540336609,0.058901503682136536,0.031188547611236572,0.047351282089948654,0.21281300485134125,0.13008214347064495,22678484.0
16,5,0.0,0.00010533384,0.0134161115,0.013310778,126.355545,0.006050584372133017,0.054083772003650665,0.03006717818789184,0.06302201747894287,0.2037992924451828,0.13341065496206284,22586420.0
110,13,0.0,-7.163492e-05,-0.009376742,0.009305107,129.87813,0.00736312847584486,0.04466622322797775,0.026014675851911306,0.07163024693727493,0.1748007982969284,0.12321552261710167,19964378.0
125,1,0.0,0.0,-0.019135714,0.019135714,1913571.4,0.0035905984696000814,0.04220742732286453,0.022899012896232307,0.04811829328536987,0.1770489513874054,0.11258362233638763,19133866.0
123,8,0.0,0.0003674954,-0.0034857541,0.0038532496,10.484879,0.007551872171461582,0.07153987139463425,0.039545871783047915,0.06873340159654617,0.23454082012176514,0.15163711085915565,25906790.0
80,2,0.0,0.00019893161,-0.004271865,0.0044707963,22.472908,0.0034633802715688944,0.06051255390048027,0.03198796708602458,0.04749295487999916,0.2102281004190445,0.12886052764952183,22221312.0
4,5,0.0,-0.00039768705,-0.0103792995,0.009981613,25.098532,0.0061188023537397385,0.07453958690166473,0.040329194627702236,0.06267919391393661,0.23961924016475677,0.1511492170393467,26009474.0
74,9,0.0,-1.689201e-05,-0.00040581822,0.00038892622,23.010647,0.008115369826555252,0.04960285872220993,0.02885911427438259,0.07480978220701218,0.1864921748638153,0.13065097853541374,21146870.0
102,6,0.0,-9.411496e-05,0.003433831,0.003527946,37.481514,0.005616078153252602,0.050898805260658264,0.028257441706955433,0.06265510618686676,0.19037161767482758,0.12651336193084717,20887496.0
206,0,0.01767,0.028264722,0.020417102,0.00784762,0.27764708,0.008515856228768826,0.03753810375928879,0.023026979994028807,0.07416359335184097,0.15042999386787415,0.11229679360985756,0.4331189
138,9,0.019680003,0.0292322,-0.0072532,0.0364854,1.2481233,0.02132403291761875,0.13366757333278656,0.07749580312520266,0.11826363205909729,0.2971688210964203,0.2077162265777588,0.6323888
66,9,0.0201,0.010243303,-0.02556765,0.035810955,3.4960322,0.011059535667300224,0.44257402420043945,0.22681677993386984,0.08195578306913376,0.6044666767120361,0.34321122989058495,0.72219425
115,4,0.023300001,0.024395317,-0.0026179254,0.027013242,1.1073122,0.009348925203084946,0.10212878882884979,0.05573885701596737,0.07585164159536362,0.28147152066230774,0.17866158112883568,0.5313555
188,8,0.023499997,0.025883052,-0.0063387305,0.032221783,1.2448984,0.022334814071655273,0.10021842271089554,0.061276618391275406,0.11745741218328476,0.2542169392108917,0.18583717569708824,0.57438755
127,8,0.024100002,0.0161589,-0.007841766,0.024000665,1.4852899,0.006419845391064882,0.2258012741804123,0.11611055978573859,0.06369240581989288,0.4223994314670563,0.24304591864347458,0.628061
160,11,0.024100002,0.028139623,0.0061401874,0.021999435,0.78179544,0.0025318693369627,0.061177026480436325,0.03185444790869951,0.039569661021232605,0.22202324867248535,0.13079645484685898,4.2271895
122,1,0.024100002,0.012146006,-0.01586958,0.028015587,2.306566,0.003057801630347967,0.26654335856437683,0.1348005800973624,0.04032411053776741,0.4657022953033447,0.25301320292055607,0.6564392
102,5,0.024200002,0.01960903,-0.030460462,0.050069492,2.5533884,0.018394360318779945,0.11125965416431427,0.06482700724154711,0.11640921235084534,0.2755163013935089,0.19596275687217712,0.6311508
140,3,0.024200002,0.030943092,0.003274262,0.02766883,0.8941841,0.016288304701447487,0.10538418591022491,0.0608362453058362,0.10650157928466797,0.2653808295726776,0.1859412044286728,0.59840095
54,12,0.024299998,0.023536729,-0.001658678,0.025195407,1.0704715,0.029848551377654076,0.062247227877378464,0.04604788962751627,0.14015614986419678,0.19716790318489075,0.16866202652454376,0.5333055
180,14,0.024399998,0.024828188,-0.012277782,0.03710597,1.4945092,0.02056552842259407,0.12767593562602997,0.07412073202431202,0.11756069958209991,0.2906467020511627,0.20410370081663132,0.59829074
174,14,0.024399998,0.021130849,-0.010226227,0.031357076,1.4839472,0.01971423253417015,0.15039700269699097,0.08505561761558056,0.1178043931722641,0.3374086916446686,0.22760654240846634,0.6470603
