displacement,true_force,predicted_force
0.0,0.00011604683,0.046186987
0.0,0.0,0.03222698
0.0,-5.472367e-05,0.042705607
0.0,0.00019788907,0.012421723
0.0,5.1511874e-05,0.013334017
0.0,-1.9669706e-05,0.0139195565
0.0,0.0009662986,0.04738765
0.0,3.299418e-05,0.027070234
0.0,0.0,0.04938616
0.0,-7.163492e-05,0.029948747
0.0,0.00018431756,0.06568338
0.0,-1.8925439e-05,0.05699539
0.0,0.00010533384,0.060626626
0.0,0.0003674954,0.0480442
0.0,-0.00023698958,0.062033366
0.0,0.00038674613,0.04497865
0.0,0.00023256188,0.057336673
0.0,8.041587e-05,0.041385166
0.0,-9.411496e-05,0.05049848
0.0,-6.9855523e-06,0.04548876
0.0,5.0203995e-05,0.07250057
0.0,4.2852735e-05,0.04450448
0.0,0.0003945335,0.03946848
0.023100002,0.025351347,0.041442044
0.023379998,0.03040294,0.058746174
0.024000002,0.0134340655,0.0101775285
0.024000002,0.025937356,0.04933878
0.024100002,0.01661593,0.045353316
0.024200002,0.01960903,0.036754645
0.024200002,0.01797108,0.036621436
0.024200002,0.02683772,0.048436426
0.024299998,0.010044815,0.017017577
0.024399998,0.021130849,0.04246188
0.024399998,0.022410708,0.033671096
0.0245,0.013959577,0.037761472
0.024574999,0.024818802,0.052062362
0.0247,0.03220206,0.06465786
0.024765,0.02289346,0.041592445
0.0248,0.033172123,0.07679416
0.02484,0.023576694,0.053197276
0.02495,0.028502582,0.066370204
0.06599999,0.023987208,0.02442075
0.06599999,0.03301372,0.05615408
0.06601,0.023790782,0.038407363
0.0661,0.033774026,0.05330623
0.066105,0.02990191,0.056723963
0.066205,0.033111796,0.058937743
0.06621,0.038929313,0.06751098
0.066309996,0.02360055,0.05236538
0.06651,0.023629744,0.03380638
0.067,0.023825755,0.0369693
0.067045,0.04862631,0.07341087
0.0673,0.035869855,0.04867777
0.06738501,0.048678532,0.07173391
0.0674,0.04295788,0.077191524
0.0674,0.036596235,0.05553956
0.067415,0.03760475,0.058611915
0.0675,0.03710395,0.055911846
0.067600004,0.03678133,0.059253536
0.06761,0.048788294,0.06829956
0.067715,0.040026635,0.073460534
0.06797,0.033534583,0.048486426
0.10422002,0.060122132,0.08214491
0.10689999,0.037252292,0.047738172
0.10689999,0.033296347,0.046249196
0.107,0.045600597,0.060194712
0.107,0.045481037,0.062137417
0.10720001,0.05610037,0.058621522
0.10720502,0.04121936,0.055686083
0.10720502,0.036520764,0.0488868
0.107305,0.032725003,0.0275403
0.1074,0.04620968,0.06412619
0.1074,0.04345548,0.07432242
0.10750001,0.043855395,0.06117098
0.10750001,0.030423097,0.051169768
0.10759999,0.045718968,0.062300228
0.10759999,0.04463002,0.06584974
0.10808499,0.06418832,0.091637485
0.10808499,0.047273006,0.06263218
0.10811,0.04382182,0.05501519
0.10825999,0.06221411,0.07557953
0.1463,0.05302302,0.06689626
0.1463,0.045842867,0.064086065
0.1463,0.044329017,0.05364025
0.14639999,0.03582219,0.039917573
0.14639999,0.030330805,0.027273972
0.146505,0.041202348,0.054253362
0.14651,0.03967824,0.06189219
0.147,0.053832456,0.063917235
