batch_idx,sample_idx,displacement,true_force,predicted_force,force_error,force_relative_error,mse_ux,mse_uy,mse_total,mae_ux,mae_uy,mae_total,relative_error
98,6,0.0,-7.199455e-06,0.108994335,0.10900153,15119.247,0.007921642623841763,0.09020032733678818,0.04906098498031497,0.0739596039056778,0.25811567902565,0.1660376414656639,28213796.0
205,6,0.0,0.00038674613,0.09623927,0.095852524,247.83711,0.007940104231238365,0.10073123872280121,0.05433567147701979,0.07443206757307053,0.2789291739463806,0.17668062075972557,30122632.0
31,13,0.0,0.000283438,0.110112816,0.10982938,387.47626,0.010042463429272175,0.10126733779907227,0.05565490061417222,0.08062392473220825,0.2799045145511627,0.18026421964168549,30907590.0
61,11,0.0,0.0003945335,0.101578,0.10118347,256.45706,0.009174787439405918,0.10308459401130676,0.05612969072535634,0.07816790789365768,0.2825154960155487,0.1803417019546032,30882524.0
89,2,0.0,0.0,0.104623586,0.104623586,10462359.0,0.012148555368185043,0.08347049355506897,0.04780952446162701,0.0907551497220993,0.24799607694149017,0.16937561333179474,27809056.0
90,12,0.0,0.00022360099,0.067872316,0.067648716,302.5286,0.00617216806858778,0.1029001921415329,0.05453618010506034,0.06545231491327286,0.2826950252056122,0.17407367005944252,29895182.0
143,0,0.0,8.651253e-06,0.0898307,0.08982205,10370.561,0.007690137717872858,0.10343430936336517,0.055562223540619016,0.07279449701309204,0.2815452516078949,0.17716987431049347,30448458.0
21,10,0.0,0.0003148779,0.095740736,0.09542586,303.0471,0.009737005457282066,0.07998189330101013,0.0448594493791461,0.0823519378900528,0.2379045933485031,0.16012826561927795,26554716.0
55,6,0.0,0.001083243,0.0738022,0.07271896,67.13017,0.010121520608663559,0.08325887471437454,0.04669019766151905,0.08342798054218292,0.24608886241912842,0.16475842148065567,27666946.0
16,4,0.0,0.00011604683,0.09050256,0.09038651,778.8125,0.005380821414291859,0.08636552095413208,0.04587317118421197,0.06004104018211365,0.248342826962471,0.15419193357229233,26082836.0
132,5,0.0,0.0,0.08544326,0.08544326,8544326.0,0.0077211265452206135,0.10545860975980759,0.0565898681525141,0.07264292240142822,0.2848038077354431,0.17872336506843567,30584300.0
15,9,0.0,-7.555729e-06,0.100120544,0.1001281,13234.429,0.010717508383095264,0.08093614131212234,0.045826824847608805,0.0872536301612854,0.241003155708313,0.1641283929347992,27112030.0
158,10,0.0,0.0003674954,0.095276594,0.0949091,258.25226,0.009149759076535702,0.10533202439546585,0.057240891736000776,0.07722940295934677,0.28692731261253357,0.18207835778594017,31238662.0
72,4,0.0,-1.9669706e-05,0.092262775,0.092282444,4689.2188,0.007979579269886017,0.09676200151443481,0.052370790392160416,0.07495943456888199,0.27313241362571716,0.17404592409729958,29611018.0
173,7,0.0,4.0831303e-05,0.112431794,0.112390965,2751.8948,0.004889993462711573,0.08773920685052872,0.046314600156620145,0.05833791568875313,0.24992795288562775,0.15413293428719044,26416672.0
166,6,0.0,-5.461677e-05,0.11577055,0.11582517,2120.3005,0.0056989118456840515,0.07915953546762466,0.04242922365665436,0.06081027537584305,0.2318030446767807,0.14630666002631187,24822672.0
50,7,0.0,-0.0001296586,0.10222998,0.10235964,789.3942,0.006761270575225353,0.09534641355276108,0.051053842063993216,0.06941072642803192,0.2680002450942993,0.16870548576116562,28627808.0
192,10,0.0,8.8819215e-05,0.10386634,0.10377752,1168.2815,0.006941159721463919,0.10626664757728577,0.05660390364937484,0.06728007644414902,0.28743597865104675,0.17735802754759789,30613514.0
78,5,0.023475002,0.022386447,0.08387652,0.061490074,2.7467535,0.0040072002448141575,0.004759269300848246,0.0043832347728312016,0.04582689329981804,0.05688617751002312,0.05135653540492058,0.23563914
144,11,0.023849998,0.032691427,0.11374882,0.08105739,2.4794686,0.0027955980040133,0.023188089951872826,0.012991843977943063,0.04072313755750656,0.12846888601779938,0.08459601178765297,0.29050255
162,10,0.024100002,0.018347183,0.10559896,0.087251775,4.755593,0.0043330118060112,0.1671610027551651,0.08574700728058815,0.05511147156357765,0.36640477180480957,0.2107581216841936,0.58434826
203,6,0.024100002,0.025501229,0.09776035,0.07225912,2.8335533,0.002185469726100564,0.004229629412293434,0.003207549569196999,0.03842834010720253,0.052675068378448486,0.04555170424282551,0.19041163
79,5,0.024200002,0.017319176,0.09569672,0.078377545,4.525475,0.002164469100534916,0.013932877220213413,0.008048673160374165,0.03717878460884094,0.09893658757209778,0.06805768609046936,0.26041412
97,3,0.024200002,0.019112827,0.09441927,0.075306445,3.9400978,0.0038306815549731255,0.025657527148723602,0.014744104351848364,0.050794217735528946,0.1419309824705124,0.09636260010302067,1.0275034
69,9,0.024200002,0.016431555,0.10728827,0.090856716,5.5294013,0.003816962940618396,0.009205684065818787,0.006511323503218591,0.050509680062532425,0.07972278445959091,0.06511623226106167,0.25946537
114,1,0.024399998,0.026343562,0.111717016,0.085373454,3.2407699,0.002547076204791665,0.09904187172651291,0.05079447396565229,0.04047422856092453,0.279163658618927,0.15981894358992577,0.4550335
190,13,0.024474999,0.023508564,0.09560087,0.07209231,3.0666392,0.0014525989536195993,0.01482369378209114,0.00813814636785537,0.0294951219111681,0.1068856343626976,0.06819037813693285,0.34899825
78,9,0.0245,0.015993034,0.086984366,0.07099133,4.438888,0.007709973491728306,0.07714144140481949,0.0424257074482739,0.07412242889404297,0.23782379925251007,0.15597311407327652,10.967294
194,15,0.0246,0.02966918,0.107862055,0.078192875,2.6354907,0.007302079349756241,0.005246562417596579,0.00627432088367641,0.06958074867725372,0.059982094913721085,0.0647814217954874,0.31954548
55,3,0.0247,0.026461715,0.10308048,0.07661877,2.8954563,0.002443690551444888,0.004506065510213375,0.0034748780308291316,0.037484198808670044,0.056455232203006744,0.046969715505838394,0.21632852
