displacement,true_force,predicted_force
0.0,-7.199455e-06,0.108994335
0.0,0.00038674613,0.09623927
0.0,0.000283438,0.110112816
0.0,0.0003945335,0.101578
0.0,0.0,0.104623586
0.0,0.00022360099,0.067872316
0.0,8.651253e-06,0.0898307
0.0,0.0003148779,0.095740736
0.0,0.001083243,0.0738022
0.0,0.00011604683,0.09050256
0.0,0.0,0.08544326
0.0,-7.555729e-06,0.100120544
0.0,0.0003674954,0.095276594
0.0,-1.9669706e-05,0.092262775
0.0,4.0831303e-05,0.112431794
0.0,-5.461677e-05,0.11577055
0.0,-0.0001296586,0.10222998
0.0,8.8819215e-05,0.10386634
0.023475002,0.022386447,0.08387652
0.023849998,0.032691427,0.11374882
0.024100002,0.018347183,0.10559896
0.024100002,0.025501229,0.09776035
0.024200002,0.017319176,0.09569672
0.024200002,0.019112827,0.09441927
0.024200002,0.016431555,0.10728827
0.024399998,0.026343562,0.111717016
0.024474999,0.023508564,0.09560087
0.0245,0.015993034,0.086984366
0.0246,0.02966918,0.107862055
0.0247,0.026461715,0.10308048
0.02484,0.023576694,0.105253845
0.024900002,0.025612066,0.09988645
0.025069999,0.033701975,0.12476319
0.025199998,0.030692471,0.10873863
0.0659,0.040507883,0.11395201
0.0659,0.03581388,0.10992628
0.0661,0.024598876,0.10533011
0.06620001,0.014413022,0.08592278
0.06620001,0.021838611,0.09086493
0.06621,0.038929313,0.12231651
0.06651,0.023629744,0.10245475
0.066605,0.035296593,0.108928055
0.0673,0.037516754,0.1098111
0.0674,0.041788593,0.10953188
0.067415,0.03760475,0.11415863
0.067485,0.028849373,0.10059115
0.0675,0.03710395,0.1061438
0.0675,0.036931936,0.12402043
0.067600004,0.03312272,0.11777905
0.067600004,0.03678133,0.11349413
0.06770999,0.047862917,0.117390156
0.06803,0.046886012,0.124908835
0.1056,0.05299872,0.12874621
0.10689999,0.033296347,0.11482349
0.10689999,0.025044208,0.09078598
0.10689999,0.047889065,0.115262955
0.107,0.032481007,0.1093564
0.107,0.045481037,0.10991725
0.107214995,0.061546687,0.12607154
0.1074,0.04620968,0.11727169
0.107410006,0.042762943,0.11627349
0.10751499,0.041992016,0.10947797
0.10759999,0.04463002,0.111130685
0.107705,0.062261328,0.12346062
0.10771,0.0681947,0.12141365
0.10790001,0.047011804,0.12081972
0.107985005,0.05844416,0.13020316
0.10909999,0.03878129,0.111545056
0.14459,0.070956506,0.13173854
0.14621,0.04283129,0.11504647
0.14639999,0.03582219,0.10237035
0.14639999,0.030330805,0.09683958
0.146505,0.041202348,0.11587438
0.146995,0.06630051,0.12526456
0.147,0.053832456,0.11535552
0.147,0.057860736,0.11930111
0.14711,0.056895003,0.12125561
0.147295,0.055589262,0.11973229
0.1473,0.06622429,0.12113407
0.1473,0.0569848,0.13525361
0.14731,0.052438773,0.11607215
0.14756,0.05791893,0.12511364
0.14805998,0.07515394,0.12768549
0.1874,0.07431391,0.13067609
0.1875,0.055359785,0.127597
0.1876,0.06350291,0.12096098
0.18769,0.04842946,0.1210528
0.18770002,0.0854107,0.13421783
0.18770002,0.07583775,0.13095844
0.18780002,0.057766892,0.117289305
0.18780002,0.071156286,0.11546895
0.18788998,0.030382734,0.10430014
0.18789999,0.09284706,0.14500305
0.18798502,0.053476423,0.12045255
0.18798502,0.0663167,0.12339482
0.18808499,0.047872063,0.110646784
0.18815501,0.066608876,0.13056949
0.18835498,0.086201265,0.13315144
0.18840002,0.06678074,0.1269407
0.22658502,0.06779648,0.13047865
0.22660002,0.056040112,0.12903005
0.22660002,0.06960069,0.1262367
0.22660002,0.064631976,0.12252331
0.22669998,0.06550264,0.12523633
0.22669998,0.070466384,0.13317868
0.22699,0.060948964,0.12706354
0.22708,0.0575909,0.12614623
0.22719,0.09917135,0.15374509
0.22723998,0.068523645,0.12743959
0.22727,0.05517799,0.12542191
0.22728,0.05289957,0.12115529
0.22737502,0.06643032,0.12598631
0.22757998,0.053004272,0.116852194
0.22764002,0.05064396,0.11449656
0.227705,0.075671814,0.14647654
0.22772,0.093606204,0.14028367
0.22782001,0.10251692,0.13969627
0.22782502,0.07612624,0.12900761
0.22790001,0.06260968,0.123034865
0.22848,0.10098813,0.1461668
0.23397997,0.095084,0.14420483
0.2667,0.07042904,0.1382139
0.26679996,0.06305238,0.13297933
0.267,0.07383907,0.13798204
0.2672,0.081483446,0.1386827
0.26723,0.069691025,0.13700977
0.26723,0.041150775,0.115606785
0.267395,0.07978569,0.14695129
0.267395,0.10506181,0.14658418
0.2675,0.08048367,0.14446768
0.26759002,0.10541978,0.14636913
0.26766,0.06096528,0.1267758
0.26809,0.08405394,0.14009508
0.26866004,0.09980271,0.15071025
0.26866004,0.10659895,0.14379793
0.30559996,0.10135882,0.15536818
0.30640003,0.086943634,0.14452007
0.3069,0.08538157,0.14096817
0.3069,0.0991627,0.14664146
0.30696997,0.069211796,0.13443494
0.30711004,0.0638947,0.14531815
0.3073,0.1117079,0.15114725
0.30730996,0.09695313,0.15360704
0.30792,0.09620798,0.14941567
0.30801997,0.10826036,0.15570709
0.30804,0.10359241,0.14736614
0.30832502,0.11561653,0.14898652
0.31467,0.114355184,0.15503359
0.346545,0.050657544,0.12832066
0.34719998,0.08547905,0.14863339
0.34722498,0.12126462,0.15657708
0.34750003,0.08842158,0.13909599
0.34754997,0.09681956,0.15491644
0.34777,0.09542031,0.15733525
0.34781,0.08381766,0.13630295
0.347945,0.092421696,0.14781365
0.34801504,0.08047195,0.14199767
0.34854004,0.105718076,0.1590788
0.35002998,0.08304317,0.1435028
0.37979504,0.14488633,0.1746408
0.38670996,0.07324229,0.12875548
0.38700002,0.091435544,0.15371439
0.38700002,0.10302777,0.15576118
0.38701004,0.076893754,0.1557957
0.38718504,0.08497803,0.14657298
0.38718504,0.085282534,0.14972338
0.38746,0.091120586,0.15287873
0.38747,0.07779915,0.13553822
0.38751003,0.10801425,0.15040028
0.38755003,0.11525766,0.15728584
0.38759997,0.09636875,0.15425327
0.38763,0.14271773,0.17140195
0.38767502,0.13248877,0.16161177
0.38777497,0.10637661,0.15992275
0.38783,0.14013538,0.16158637
0.38797,0.119304605,0.16029239
0.38801,0.083292395,0.14653793
0.38831,0.09685427,0.15277016
0.388325,0.10580322,0.15472129
0.38839504,0.097602434,0.15187809
0.39442998,0.1300428,0.16574436
0.41921,0.1547985,0.17990494
0.4259,0.12626262,0.17090714
0.42650002,0.10154098,0.15000042
0.42650002,0.10821319,0.15724444
0.42671496,0.09455125,0.1509715
0.427145,0.103722565,0.1522381
0.42720002,0.10818087,0.16574457
0.4277,0.13255565,0.15877816
0.4277,0.10794121,0.15442005
0.42780998,0.12145085,0.16863069
0.42789003,0.08321615,0.1413765
0.42789504,0.13808785,0.16716227
0.42810005,0.14086081,0.16664183
0.42811006,0.14218865,0.1658608
0.4284,0.11811428,0.16174424
0.42849997,0.11567326,0.16100416
0.43488,0.13914138,0.17109862
0.46670002,0.11021791,0.16418537
0.467,0.11755946,0.16657445
0.46709996,0.11614708,0.15881673
0.467185,0.1164528,0.16126576
0.46725994,0.11883038,0.17270327
0.46728498,0.11438662,0.15947887
0.46738502,0.12141045,0.17051506
0.46762997,0.12628004,0.16362122
0.46781498,0.12207974,0.16614845
0.467845,0.11159626,0.14808616
0.46838,0.10107884,0.16646919
0.5061,0.14026402,0.18109944
0.506525,0.07404809,0.14895287
0.50653,0.123985074,0.16393796
0.5067,0.093098514,0.14633134
0.5068,0.123637296,0.16702455
0.5071201,0.121308744,0.17598873
0.50712496,0.12627348,0.17194167
0.50712496,0.11583173,0.16492847
0.50715,0.10602413,0.16125265
0.50782496,0.10127876,0.15866226
0.50786,0.12509075,0.17784998
0.507925,0.10198392,0.15363306
0.508055,0.11711108,0.1686368
0.50831,0.10170827,0.15175399
0.50868505,0.13162194,0.16643164
0.50869995,0.11018202,0.17174843
0.50903994,0.14997466,0.18132588
0.5090551,0.1303343,0.17148745
0.54603,0.16296753,0.1835359
0.54661506,0.13785845,0.1880551
0.5467749,0.079983205,0.15410551
0.54744,0.1641972,0.18167344
0.54758,0.14660923,0.17841363
0.547595,0.13784935,0.17154875
0.54766995,0.10529808,0.15698844
0.54767996,0.11215797,0.17070565
0.54769,0.13073121,0.16495731
0.54785496,0.11917009,0.1738227
0.54815,0.113624096,0.17258826
0.54816,0.13303171,0.1806818
0.54826,0.12537347,0.17389569
0.548275,0.1455913,0.18445623
0.54828,0.15106426,0.18143263
0.548325,0.083433785,0.15289381
0.5483499,0.14363146,0.18383572
0.548595,0.10742039,0.15696973
0.54901,0.09277699,0.15438443
0.57979494,0.19579777,0.20065185
0.58559996,0.15610771,0.19172505
0.5866,0.13939098,0.18254122
0.5871,0.11963828,0.17744273
0.587115,0.108594686,0.17399481
0.587115,0.13245554,0.17380053
0.5872,0.14243,0.17847604
0.58722,0.08837583,0.15828112
0.58731,0.13761166,0.17424813
0.58732,0.12540697,0.17924657
0.58742,0.15704693,0.18694338
0.58750004,0.1310147,0.17279837
0.58751494,0.14473094,0.18617252
0.58763,0.13574086,0.17480716
