Frame_ID,Sample_ID,Frame_in_Sample,Filename,MNIST_Digit,Dominant_Class,Accuracy,Accuracy_Percentage,Dominant_Class_Percentage,Total_Pixels,Correct_Pixels,Error_Pixels,Error_Percentage,Num_Classes
0,0,0,000.npz,0,4,0.9853316326530612,98.53316326530613,78.50765306122449,3136,3090,46,1.4668367346938775,2
1,0,1,000.npz,0,4,0.9824617346938775,98.24617346938776,78.50765306122449,3136,3081,55,1.7538265306122447,2
2,0,2,000.npz,0,4,0.985969387755102,98.5969387755102,78.50765306122449,3136,3092,44,1.403061224489796,2
3,0,3,000.npz,0,4,0.998405612244898,99.8405612244898,78.50765306122449,3136,3131,5,0.15943877551020408,2
4,0,4,000.npz,0,4,0.9846938775510204,98.46938775510205,78.50765306122449,3136,3088,48,1.530612244897959,2
5,0,5,000.npz,0,4,0.9920280612244898,99.20280612244898,78.50765306122449,3136,3111,25,0.7971938775510204,2
6,1,0,001.npz,0,4,0.9856505102040817,98.56505102040816,78.50765306122449,3136,3091,45,1.4349489795918369,2
7,1,1,001.npz,0,4,0.9929846938775511,99.2984693877551,78.50765306122449,3136,3114,22,0.701530612244898,2
8,1,2,001.npz,0,4,0.9869260204081632,98.69260204081633,78.50765306122449,3136,3095,41,1.3073979591836735,2
9,1,3,001.npz,0,4,0.9846938775510204,98.46938775510205,78.50765306122449,3136,3088,48,1.530612244897959,2
10,1,4,001.npz,0,4,0.9830994897959183,98.30994897959184,78.50765306122449,3136,3083,53,1.6900510204081634,2
11,1,5,001.npz,0,4,0.9872448979591837,98.72448979591837,78.50765306122449,3136,3096,40,1.2755102040816326,2
12,2,0,002.npz,0,4,0.9808673469387755,98.08673469387756,78.50765306122449,3136,3076,60,1.913265306122449,2
13,2,1,002.npz,0,4,0.9885204081632653,98.85204081632652,78.50765306122449,3136,3100,36,1.1479591836734695,2
14,2,2,002.npz,0,4,0.9872448979591837,98.72448979591837,78.50765306122449,3136,3096,40,1.2755102040816326,2
15,2,3,002.npz,0,4,0.9815051020408163,98.15051020408163,78.50765306122449,3136,3078,58,1.8494897959183674,2
16,2,4,002.npz,0,4,0.9955357142857143,99.55357142857143,78.50765306122449,3136,3122,14,0.4464285714285714,2
17,2,5,002.npz,0,4,0.9993622448979592,99.93622448979592,78.50765306122449,3136,3134,2,0.06377551020408163,2
18,3,0,003.npz,0,4,0.9929846938775511,99.2984693877551,78.50765306122449,3136,3114,22,0.701530612244898,2
19,3,1,003.npz,0,4,0.9996811224489796,99.96811224489795,78.50765306122449,3136,3135,1,0.03188775510204082,2
20,3,2,003.npz,0,4,0.9910714285714286,99.10714285714286,78.50765306122449,3136,3108,28,0.8928571428571428,2
21,3,3,003.npz,0,4,0.9878826530612245,98.78826530612244,78.50765306122449,3136,3098,38,1.211734693877551,2
22,3,4,003.npz,0,4,1.0,100.0,78.50765306122449,3136,3136,0,0.0,2
23,3,5,003.npz,0,4,0.9866071428571429,98.66071428571429,78.50765306122449,3136,3094,42,1.3392857142857142,2
