Sample_ID,Filename,File_Number,MNIST_Digit,Dominant_Material_Class,All_Material_Classes,Mask_Shape,Accuracy,Accuracy_Percentage,Total_Pixels,Correct_Pixels,Error_Pixels,Error_Percentage,Num_Classes
0,000.npz,0,0,8,"[0, 8]","(51, 51)",0.9807766243752403,98.07766243752403,2601,2551,50,1.9223375624759707,2
1,001.npz,1,1,9,"[3, 9]","(51, 51)",0.9819300269127259,98.1930026912726,2601,2554,47,1.8069973087274125,2
2,002.npz,2,2,8,"[4, 8]","(50, 51)",0.9776470588235294,97.76470588235294,2550,2493,57,2.235294117647059,2
3,003.npz,3,3,9,"[7, 9]","(50, 51)",0.9729411764705882,97.29411764705883,2550,2481,69,2.705882352941176,2
4,004.npz,4,4,8,"[0, 8]","(51, 51)",0.9838523644752019,98.38523644752019,2601,2559,42,1.6147635524798154,2
5,005.npz,5,5,9,"[3, 9]","(50, 50)",0.98,98.0,2500,2450,50,2.0,2
6,006.npz,6,6,8,"[4, 8]","(48, 49)",0.9744897959183674,97.44897959183673,2352,2292,60,2.5510204081632653,2
7,007.npz,7,7,9,"[7, 9]","(48, 49)",0.9715136054421769,97.1513605442177,2352,2285,67,2.848639455782313,2
8,008.npz,8,8,8,"[0, 8]","(48, 49)",0.9880952380952381,98.80952380952381,2352,2324,28,1.1904761904761905,2
9,009.npz,9,9,9,"[3, 9]","(48, 49)",0.9749149659863946,97.49149659863946,2352,2293,59,2.508503401360544,2
10,010.npz,10,0,8,"[4, 8]","(50, 50)",0.9792,97.92,2500,2448,52,2.08,2
11,011.npz,11,1,9,"[7, 9]","(51, 51)",0.9761630142252979,97.6163014225298,2601,2539,62,2.3836985774702035,2
12,012.npz,12,2,8,"[0, 8]","(50, 50)",0.9788,97.88,2500,2447,53,2.12,2
13,013.npz,13,3,9,"[3, 9]","(50, 50)",0.9784,97.84,2500,2446,54,2.16,2
14,014.npz,14,4,8,"[4, 8]","(50, 50)",0.9876,98.76,2500,2469,31,1.24,2
15,015.npz,15,5,9,"[7, 9]","(50, 51)",0.9725490196078431,97.25490196078431,2550,2480,70,2.7450980392156863,2
16,016.npz,16,6,8,"[0, 8]","(46, 46)",0.9877126654064272,98.77126654064273,2116,2090,26,1.2287334593572778,2
17,017.npz,17,7,9,"[3, 9]","(45, 45)",0.9832098765432099,98.32098765432099,2025,1991,34,1.6790123456790123,2
18,018.npz,18,8,8,"[4, 8]","(46, 46)",0.9796786389413988,97.96786389413988,2116,2073,43,2.0321361058601135,2
19,019.npz,19,9,9,"[7, 9]","(50, 50)",0.9732,97.32,2500,2433,67,2.68,2
20,020.npz,20,0,8,"[0, 8]","(50, 50)",0.9924,99.24,2500,2481,19,0.76,2
21,021.npz,21,1,9,"[3, 9]","(51, 51)",0.986159169550173,98.6159169550173,2601,2565,36,1.384083044982699,2
22,022.npz,22,2,8,"[4, 8]","(51, 51)",0.9842368319876971,98.42368319876971,2601,2560,41,1.5763168012302962,2
